title,body,labels,dependencies,estimate
"FND-01 Foundations — Create monorepo scaffolding","Description: Establecer la estructura base del monorepo, tooling, linting y scripts para desarrollo temprano.\n\nAcceptance criteria:\n- Estructura de repo por módulos (apps/*, packages/*, backlog/*).\n- Scripts de build/test/lint en root.\n- Configuración de lint y TS; pre-commit configurado.\n\nDependencies: -","backlog;foundation","-","5-8d"
"FND-02 Foundations — DB + multi-tenant (Postgres + RLS)","Description: Configurar la base de datos con esquemas núcleo y RBAC/RLS para multi-tenant.\n\nAcceptance criteria:\n- Esquemas: entities, fiscal_periods, chart_of_accounts, accounts, journal_entries, journal_lines, etc.\n- RLS habilitado y políticas básicas para evitar acceso cruzado.\n- Tests de aislamiento entre entidades.","backlog;foundation","FND-01","5-7d"
"FND-03 Foundations — Context by request (entity_id, user_id)","Description: Implementar middleware/contexto por request que inyecte entity_id y user_id en el contexto de cada operación.\n\nAcceptance criteria:\n- Contexto accesible en handlers/routers; RBAC aplicado.\n- Tests de contexto correcto.","backlog;foundation","FND-02","3-5d"
"FND-04 Foundations — Auth & Roles (Supabase Auth)","Description: Configurar Auth y perfiles (roles) para multi-tenant.\n\nAcceptance criteria:\n- Registro/login; asignación de roles; asociación a entidades.\n- Tests de permisos por rol.","backlog;foundation","FND-02;FND-03","4-6d"
"FND-05 Foundations — Frontend skeleton (Next.js + tRPC)","Description: Skeleton de frontend con App Router y boundary para tRPC.\n\nAcceptance criteria:\n- Estructura minimalista con login y navegación básica.\n- Conexión tipada a APIs (stub).","backlog;foundation","FND-04","4-6d"
"FND-06 Foundations — IA skeleton (interfaces)","Description: Definir interfaces para ingestDocument, suggestAccount y proposeReconciliation; permitir swap de IA.\n\nAcceptance criteria:\n- Interfaces definidas; proveedor IA por defecto (fake/free).\n- Documentation de swap de IA sin cambios de dominio.","backlog;foundation","FND-05","3-4d"
"FND-07 Foundations — Outbox & Idempotency","Description: Implementar Outbox pattern y Idempotency-Key para mutadores.\n\nAcceptance criteria:\n- Mutadores son idempotentes; eventos de outbox generados y entregados.","backlog;foundation","FND-02;MVP-CORE","4-6d"
"FND-08 Foundations — Observability","Description: Configurar Sentry y PostHog; logs estructurados.\n\nAcceptance criteria:\n- Logs con requestId/entityId/userId; dashboards básicos.","backlog;foundation","FND-05","3-4d"
"FND-09 Foundations — Documentation & onboarding","Description: Documentación de arranque, guía de desarrollo y normas.\n\nAcceptance criteria:\n- README actualizado; guía de desarrollo y convenciones.","backlog;foundation","FND-01","2-3d"
"MVP-CORE-01 MVP Core — Onboarding multi-tenant","Description: Flujo para crear empresa, régimen, periodo y seed COA PY.\n\nAcceptance criteria:\n- Admin crea empresa, configura periodo y se aplica seed COA PY.\n- Multi-tenant context activo.","backlog;mvp","FND-02;FND-04","6-8d"
